1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244
110,1.29,2011,male,48,45-54,Wales,south west,marrried or couple,yes,4,post family,0,no,no,no,no,no,bachelor degree or equivalent (=nvq4),in paid employ,B,yes,in paid employ,"£50,000-£74,999",62500,£400-£499,450,down <£50,-25,yes,"£3,000-3,499",3250,"£1,000-£4,999",0.052000001,0.601851881,<0.25,0.5-0.75,£110-£119,130,0.02496,<0.05,2,no,yes,yes,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,no,no,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,not applicable,none,0,,Increase by £50-£99 a month,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,Yes,No,No,,"£1,000 - £1,999",1500,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,,,,,,,,,,,no,no,no,no,yes,,no idea,less certain
24,2.627,2011,male,18,18-24,E Midlands,west midlands,never married,no,3,single,0,no,no,no,no,no,gcse/o-level/cse,in paid employ,B,no,in paid employ,not applicable,not applicable,don't know,don't know,down <£50,-25,no,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,0,no,no,no,no,no,no,no,no,no,refused,not applicable,not applicable,not applicable,not applicable,not applicable,,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,not applicable,0,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,no,not applicable,don't know,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,don't know,no,not applicable,don't know,none,0,,Increase by £150-£199 a month,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,,don't know,don't know,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,yes,no,no,no,don't know,don't know,don't know,don't know,don't know,don't know,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,don't know,don't know
797,1.612,2011,female,50,45-54,South West,south west,widowed/divorced/separated,yes,1,post family,0,no,no,no,no,no,bachelor degree or equivalent (=nvq4),in paid employ,D,yes,in paid employ,"£7,500-£9,499",8500,£500-£599,550,down >£100,-150,yes,<£200,100,"<£1,000",0.011764706,0.015151516,<0.25,<0.25,<£10,5,0.007058823,<0.05,1,no,no,no,no,yes,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,no,no,"keeping up, struggle from time to time",,,,,,,,,,,,,,,,no,no,no,no,no,no,no,no,yes,no,no,,,,no,no,no,not applicable,none,0,,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,,,,,,,,,,,no,no,no,no,yes,,good idea,more certain
1476,1.2,2011,male,62,55-64,North West,north west,marrried or couple,yes,2,post family,0,no,no,no,no,no,gcse/o-level/cse,in paid employ,C1,no,in paid employ,refused,refused,£300-£399,350,no change,0,no,not applicable,not applicable,not applicable,not applicable,0,not applicable,0,not applicable,0,not applicable,not applicable,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,0,,not applicable,0,not applicable,0,not applicable,0,,,,,,,,,,,,,,,,,,,,,,,no,not applicable,keeping up without much difficulty,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,the same,£25-£49,37.5,,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£3,000 - £3,999",3500,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,vague idea,no change
1635,0.622,2011,male,64,55-64,Wales,south west,marrried or couple,no,2,post family,0,no,no,no,no,no,no formal qualifications,retired,C2,no,in paid employ,not applicable,not applicable,refused,refused,refused,,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,private rented,renter,renter,not applicable,not applicable,0,,no,not applicable,not applicable,0,0,not applicable,not applicable,,not applicable,0,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,no,not applicable,refused,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,refused,refused,not applicable,refused,refused,,,refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refused,refused,,,,,,,,,,,refused,,,,,,,,,,,,,,,,,,,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,refused,refused
359,0.799,2011,male,71,65+,Wales,wales,widowed/divorced/separated,yes,1,post family,0,no,no,no,no,no,vocational qualifications (=nvq1+2),retired,E,yes,retired,refused,refused,refused,refused,refused,,no,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,0,not applicable,not applicable,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,not applicable,,not applicable,0,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,no,not applicable,"have financial problems, fallen behind with many",,,,,,,,,,,,,,,,no,no,no,no,no,no,no,no,yes,no,no,,,,no,no,no,not applicable,refused,,,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refused,refused,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,good idea,no change
1699,0.884,2011,male,53,45-54,North West,north west,marrried or couple,yes,3,post family,0,no,no,no,no,no,gcse/o-level/cse,something else,C2,no,in paid employ,"£9,500-£11,499",10500,£200-£299,250,down >£100,-150,no,not applicable,not applicable,not applicable,0,0,0,0,not applicable,0,0,0,0,no,no,no,no,no,no,no,no,no,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,0,0,,not applicable,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,yes,not applicable,don't know,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,no,no,no,harder,none,0,,Decrease by £300 or more a month,,,,,,,,,,,,,,,Yes,No,No,No,No,No,,,,,,,,,,,,,,<£500,250,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,,,,,,,,,,,,,,,,,good idea,no change
503,0.893,2011,male,57,55-64,E Midlands,west midlands,marrried or couple,yes,3,post family,0,no,no,no,no,no,a-level or equivalent (=nvq3),in paid employ,C1,no,in paid employ,"£40,000-£49,999",45000,<£200,100,down >£100,-150,yes,"£5,000-5,499",5250,"£5,000-£9,999",0.116666667,4.375,<0.25,>1,£150-£159,210,0.056000002,0.05-0.1,4,no,yes,yes,yes,no,no,no,no,yes,mortgagor,owner,mortgagor,yes,"£60,000-£69,999",112500,,yes,fixed,"£60,000-£69,999",65000,"£60,000-£89,999",1.444444418,54.16666794,,£800-£849,825,0.219999999,8.25,0.2-0.35,>0.5,,,,,,,,,,,,,,,,,,,,,,,yes,heavy,falling behind on some,,,,,,,,,,,,,,,,no,no,no,no,no,yes,yes,no,no,no,no,,,,no,no,no,harder,none,0,,Increase by £100-£149 a month,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,<£500,250,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,,no,yes,no,no,no,"I would be up to date with my loan payments, but it would be a struggle",good idea,less certain
1945,1.343,2011,female,31,25-34,North West,north west,marrried or couple,no,4,family,2,yes,yes,no,no,no,no formal qualifications,in paid employ,C2,yes,in paid employ,"£6,500-£7,499",7000,<£200,100,down >£100,-150,yes,<£200,100,"<£1,000",0.014285714,0.083333336,<0.25,<0.25,<£10,5,0.008571428,<0.05,1,yes,no,no,no,no,no,no,no,no,mortgagor,owner,mortgagor,yes,"£60,000-£69,999",112500,,yes,discounted,"£20,000-£29,999",25000,"<£30,000",3.571428537,20.83333397,,don't know,don't know,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,no,somewhat,"keeping up, constant struggle",,,,,,,,,,,,,,,,no,no,yes,no,no,no,no,no,no,no,no,,,,no,no,no,harder,none,0,,Decrease by £200-£299 a month,,,,,,,,,,,,,,,No,No,No,Yes,No,No,,,,,,,,,,,,,,<£500,250,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,"I would be up to date with my mortgage payments, without much struggle. ",£0-49,no,yes,no,no,no,I would be behind on my loan payments,no idea,no change
370,1.008,2011,male,75,65+,Scotland,scotland,widowed/divorced/separated,yes,1,post family,0,no,no,no,no,no,a-level or equivalent (=nvq3),retired,E,yes,retired,refused,refused,refused,refused,refused,,refused,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,owner outright,owner,owner outright,yes,,,,no,not applicable,not applicable,0,0,not applicable,not applicable,,not applicable,0,not applicable,not applicable,not applicable,not applicable,,,,,,,,,,,,,,,,,,,,,,,refused,not applicable,refused,,,,,,,,,,,,,,,,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,,,refused,refused,not applicable,refused,refused,,,refused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,refused,refused,,,,,,,,,,,refused,,,,,,,,,,,,,,,,,,,yes,no,no,no,no,no,no,no,refused,refused,refused,refused,refused,refused,no,no,no,no,no,no,yes,no,,,,,,,,,,,,,,,,,,,,,,,good idea,no change
